Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4024559278,KWG7450,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1058A,,QN,,,EB ARCHER AVE @ 160T,H ST,0,1111,C,T,,,,BK,,2019,,0,,BUS LANE VIOLATION,,,
4024559280,JKV3255,NY,PAS,06-02-22,5,SUBN,LINCO,V,0,0,0,0,,0,0,0,,,1101A,,MN,,,EB E 42ND ST @ LEXIN,GTON AVE,0,1111,C,T,,,,GY,,2019,,0,,BUS LANE VIOLATION,,,
4024559308,HKD9124,NY,PAS,06-02-22,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1220P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,WH,,2006,,0,,BUS LANE VIOLATION,,,
4024559333,KKY8726,NY,PAS,06-02-22,5,SUBN,MITSU,V,0,0,0,0,,0,0,0,,,1245P,,BX,,,WB E 149TH ST @ BERG,EN AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024559370,KSU9173,NY,PAS,06-02-22,5,4DSD,ACURA,V,0,0,0,0,,0,0,0,,,1248P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,BL,,2019,,0,,BUS LANE VIOLATION,,,
4024559400,JHV8649,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,1254P,,BK,,,SB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,BK,,2008,,0,,BUS LANE VIOLATION,,,
4024559412,KTN3131,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,1254P,,BK,,,SB NOSTRAND AVE @ AV,E D,0,1111,C,T,,,,GY,,2022,,0,,BUS LANE VIOLATION,,,
4024559424,KJM7778,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,1255P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GR,,2021,,0,,BUS LANE VIOLATION,,,
4024559436,KGA5923,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,1256P,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,WH,,2020,,0,,BUS LANE VIOLATION,,,
4024559450,KPY9421,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,1256P,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024559461,KSJ6830,NY,PAS,06-02-22,5,4DSD,CADIL,V,0,0,0,0,,0,0,0,,,1256P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,BK,,2014,,0,,BUS LANE VIOLATION,,,
4024559485,KNB9712,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,1257P,,MN,,,EB W 181ST ST @ WADS,WORTH AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4024559503,JLT3035,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0102P,,BX,,,NB WEBSTER AVE @ E 1,70TH ST,0,1111,C,T,,,,GY,,2017,,0,,BUS LANE VIOLATION,,,
4024559527,JMJ4739,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0103P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,WH,,2019,,0,,BUS LANE VIOLATION,,,
4024559552,HWY5496,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0108P,,QN,,,SB WOODHAVEN BLVD @,JAMAICA AVE,0,1111,C,T,,,,BK,,0,,0,,BUS LANE VIOLATION,,,
4024559590,JAF5093,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0110P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GY,,2018,,0,,BUS LANE VIOLATION,,,
4024559606,KTH8642,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0112P,,BX,,,SB WEBSTER AVE @ E 1,94TH ST,0,1111,C,T,,,,RD,,2014,,0,,BUS LANE VIOLATION,,,
4024559618,KNY7076,NY,OMS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0112P,,MN,,,EB W 181ST ST @ WADS,WORTH AVE,0,1111,C,T,,,,BK,,2022,,0,,BUS LANE VIOLATION,,,
4024559620,JRV5192,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0112P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GY,,2017,,0,,BUS LANE VIOLATION,,,
4024559631,GLN2288,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0114P,,BK,,,SB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GY,,2013,,0,,BUS LANE VIOLATION,,,
4024559643,JBG3115,NY,PAS,06-02-22,5,PICK,TOYOT,V,0,0,0,0,,0,0,0,,,0115P,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,BK,,2018,,0,,BUS LANE VIOLATION,,,
4024559655,JPY8721,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0115P,,QN,,,NB MAIN ST @ 39TH AV,E,0,1111,C,T,,,,GY,,2006,,0,,BUS LANE VIOLATION,,,
4024559679,KGS9896,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,63820,0,0,,0,0,0,,,0117P,,BX,,,WB WEST FORDHAM ROAD,@ SEDGWICK AVE,0,1111,C,T,,,,WH,,2019,,0,,BUS LANE VIOLATION,,,
4024559692,KLY8188,NY,PAS,06-02-22,5,2DSD,ACURA,V,0,0,0,0,,0,0,0,,,0121P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,GY,,2003,,0,,BUS LANE VIOLATION,,,
4024559709,KWG1430,NY,PAS,06-02-22,5,4DSD,AUDI,V,0,40404,40404,0,,0,0,0,,,0122P,,BK,,,SB UTICA AVE @ AVE N,,0,1111,C,T,,,,GY,,2016,,0,,BUS LANE VIOLATION,,,
4024559734,KGC3234,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0124P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GR,,1998,,0,,BUS LANE VIOLATION,,,
4024559783,KVT3865,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0132P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,WH,,2010,,0,,BUS LANE VIOLATION,,,
4024559795,GPL5369,NY,PAS,06-02-22,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0133P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BR,,2012,,0,,BUS LANE VIOLATION,,,
4024559801,KMM2286,NY,PAS,06-02-22,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0133P,,QN,,,SB WOODHAVEN BLVD @,FURMANVILLE AVE,0,1111,C,T,,,,GY,,2021,,0,,BUS LANE VIOLATION,,,
4024559837,JEF7586,NY,PAS,06-02-22,5,SUBN,CHEVR,V,0,40404,40404,0,,0,0,0,,,0139P,,BK,,,NB UTICA AVE @ AVE L,,0,1111,C,T,,,,BK,,2006,,0,,BUS LANE VIOLATION,,,
4024559850,JKX4232,NY,PAS,06-02-22,5,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0146P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BL,,2014,,0,,BUS LANE VIOLATION,,,
4024559862,HFL6868,NY,PAS,06-02-22,5,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0146P,,QN,,,SB MAIN ST @ FRANKLI,N AVE,0,1111,C,T,,,,BK,,2016,,0,,BUS LANE VIOLATION,,,
4024559904,KUX7856,NY,PAS,06-02-22,5,4DSD,FORD,V,0,0,0,0,,0,0,0,,,0155P,,BX,,,WB E 149TH ST @ BERG,EN AVE,0,1111,C,T,,,,WH,,2016,,0,,BUS LANE VIOLATION,,,
4024559916,KEH5463,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0156P,,BK,,,NB ROGERS AVE @ ERAS,MUS ST,0,1111,C,T,,,,GY,,2011,,0,,BUS LANE VIOLATION,,,
4024559930,HHL9468,NY,PAS,06-02-22,5,4DSD,DODGE,V,0,0,0,0,,0,0,0,,,0156P,,QN,,,SB MERRICK BLVD @ BA,ISLEY BLVD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024559941,GLP4012,NY,PAS,06-02-22,5,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0157P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,GY,,2010,,0,,BUS LANE VIOLATION,,,
4024559953,KVR7883,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0158P,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,RD,,2016,,0,,BUS LANE VIOLATION,,,
4024559965,HNV8081,NY,PAS,06-02-22,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0159P,,BK,,,WB CHURCH AVE @ STRA,TFORD RD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024559977,HEG7823,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0202P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,GY,,2014,,0,,BUS LANE VIOLATION,,,
4024559989,KST6383,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0202P,,QN,,,SB MERRICK BLVD @ BA,ISLEY BLVD,0,1111,C,T,,,,WH,,2018,,0,,BUS LANE VIOLATION,,,
4024559990,KJN3785,NY,PAS,06-02-22,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0203P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024560001,KEF2523,NY,PAS,06-02-22,5,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0205P,,MN,,,NB MADISON AVE @ E 5,9TH ST,0,1111,C,T,,,,WH,,2020,,0,,BUS LANE VIOLATION,,,
4024560013,KUX4095,NY,PAS,06-02-22,5,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0205P,,QN,,,EB JAMAICA AVE @ SUT,PHIN BLVD,0,1111,C,T,,,,GY,,2015,,0,,BUS LANE VIOLATION,,,
4024560049,JJG3192,NY,PAS,06-02-22,5,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0237P,,MN,,,EB E 23RD ST @ 3RD A,VE,0,1111,C,T,,,,WH,,2011,,0,,BUS LANE VIOLATION,,,
4024569314,KUR3326,NY,PAS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0105P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,BL,,2017,,0,,BUS LANE VIOLATION,,,
4024569338,KAE4237,NY,OMS,06-02-22,5,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0129P,,QN,,,SB MAIN ST @ 37TH AV,E,0,1111,C,T,,,,BK,,2019,,0,,BUS LANE VIOLATION,,,
4024569351,KNY5466,NY,PAS,06-02-22,5,CONV,BMW,V,0,0,0,0,,0,0,0,,,0134P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,RD,,2004,,0,,BUS LANE VIOLATION,,,
4024569363,KMY5466,NY,PAS,06-02-22,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0134P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4024569417,JHK7864,NY,PAS,06-02-22,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0151P,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
4024626541,KJY6371,NY,PAS,06-02-22,5,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0115P,,MN,,,EB W 14TH STREET @ 5,TH AVE,0,1111,C,T,,,,BK,,2004,,0,,BUS LANE VIOLATION,,,
4024881978,KYW5362,PA,PAS,06-02-22,5,SW,CHEVR,V,0,68025,0,0,,0,0,0,,,0759A,,QN,,,WB HILLSIDE AVE @ 14,3RD ST,0,1111,C,T,,,,,,2004,,0,,BUS LANE VIOLATION,,,
4024881980,HLG6758,OH,PAS,06-02-22,5,4H,TOYOT,V,0,0,0,0,,0,0,0,,,0924A,,MN,,,WB E 14TH STREET @ 3,RD AVE,0,1111,C,T,,,,BLACK,,2017,,0,,BUS LANE VIOLATION,,,
4024881991,JMV3611,OH,PAS,06-02-22,5,4H,NISSA,V,0,0,0,0,,0,0,0,,,0951A,,BK,,,WB CHURCH AVE @ E 8T,H ST,0,1111,C,T,,,,SILVE,,2018,,0,,BUS LANE VIOLATION,,,
4024882004,HZX9369,PA,PAS,06-02-22,5,SW,HONDA,V,0,0,0,0,,0,0,0,,,1123A,,BK,,,SB NOSTRAND AVE @ LI,NDEN BLVD,0,1111,C,T,,,,,,2009,,0,,BUS LANE VIOLATION,,,
4024882016,LYB4181,PA,PAS,06-02-22,5,SDN,LEXUS,V,0,0,0,0,,0,0,0,,,1124A,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,,,2006,,0,,BUS LANE VIOLATION,,,
4024882028,LGF0412,PA,PAS,06-02-22,5,SW,HONDA,V,0,0,0,0,,0,0,0,,,1136A,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1111,C,T,,,,,,2009,,0,,BUS LANE VIOLATION,,,
4024882030,KPB5898,PA,PAS,06-02-22,5,SW,AUDI,V,0,0,0,0,,0,0,0,,,1201P,,MN,,,WB E 14TH STREET @ I,RVING PL,0,1111,C,T,,,,,,2017,,0,,BUS LANE VIOLATION,,,
4024882065,KPD6829,PA,PAS,06-02-22,5,SW,NISSA,V,0,0,0,0,,0,0,0,,,1252P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,,,2004,,0,,BUS LANE VIOLATION,,,
4024882077,LDV7539,PA,PAS,06-02-22,5,SW,LINCO,V,0,0,0,0,,0,0,0,,,0224P,,BK,,,SB JAY ST @ JOHNSON,ST,0,1111,C,T,,,,,,2002,,0,,BUS LANE VIOLATION,,,
